time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,id,place,type,magNst,Country,Continent_simplified,Continent_full,On_the_sea
2023-02-25T10:54:08.452Z,-7.351,129.0367,133.759,4.6,mb,52,61,2.94,0.62,us6000jrj7,"259 km ENE of Lospalos, Timor Leste",earthquake,55,Indonesia,AS,Asia,Banda Sea
2023-02-25T10:27:12.200Z,37.9941,34.0224,16.466,5.2,mww,101,55,1.67,0.85,us6000jriw,"19 km ENE of Emirgazi, Turkey",earthquake,41,Turkey,AS,Asia,NO
2023-02-25T10:25:44.492Z,27.1653,126.7673,10,5.1,mb,50,60,1.382,0.56,us6000jrix,"133 km NW of Ishikawa, Japan",earthquake,37,Japan,AS,Asia,East China Sea
2023-02-25T06:51:37.896Z,15.3591,-104.627,10,4.7,mb,69,200,5.357,0.72,us6000jrhz,"off the coast of Michoacan, Mexico",earthquake,322,UNKNOWN,UNKNOWN,UNKNOWN,North Pacific Ocean
2023-02-25T06:25:22.296Z,51.6261,158.6222,70.1,5,mb,137,63,1.4,0.81,us6000jrhm,"145 km S of Vilyuchinsk, Russia",earthquake,282,Russia,EU,Europe,North Pacific Ocean
2023-02-25T05:00:01.650Z,-47.2672,-13.3416,10,5.1,mb,22,99,24.975,0.46,us6000jrh4,southern Mid-Atlantic Ridge,earthquake,27,UNKNOWN,UNKNOWN,UNKNOWN,South Atlantic Ocean
2023-02-25T03:49:13.589Z,34.8997,140.1181,70.371,4.6,mb,20,172,1.608,0.46,us6000jrh0,"21 km S of Kamogawa, Japan",earthquake,7,UNKNOWN,UNKNOWN,UNKNOWN,North Pacific Ocean
2023-02-25T02:08:30.341Z,-5.706,103.8485,61.218,4.9,mb,40,95,1.605,0.96,us6000jrgl,"150 km SW of Kotabumi, Indonesia",earthquake,36,UNKNOWN,UNKNOWN,UNKNOWN,Indian Ocean
2023-02-24T22:00:44.288Z,59.0285,-151.1871,38,4.6,ml,,,,0.41,ak0232jbnptv,"51 km SE of Port Graham, Alaska",earthquake,,United States,NA,North America,Gulf Of Alaska
2023-02-24T20:25:28.510Z,38.0827,38.6687,0,4.5,mwr,115,55,1.042,0.81,us6000jrej,"7 km NE of Sincik, Turkey",earthquake,34,Turkey,AS,Asia,NO
2023-02-24T17:28:36.611Z,2.8834,126.1332,34.284,4.9,mww,112,70,2.433,1.21,us6000jrdd,Molucca Sea,earthquake,15,Indonesia,AS,Asia,Maluku Sea
2023-02-24T17:20:00.587Z,38.7876,37.3085,10,4.6,mwr,95,31,0.794,0.99,us6000jrdc,"7 km NNE of G羹r羹n, Turkey",earthquake,34,Turkey,AS,Asia,NO
2023-02-24T15:59:10.959Z,-24.3673,-67.4355,195.593,4.5,mb,18,125,1.565,0.81,us6000jrcg,"114 km W of San Antonio de los Cobres, Argentina",earthquake,5,Argentina,SA,South America,NO
2023-02-24T15:24:47.050Z,14.071,146.696,10,5,mww,151,78,1.839,0.5,us6000jrca,"152 km SE of San Jose Village, Northern Mariana Islands",earthquake,10,UNKNOWN,UNKNOWN,UNKNOWN,North Pacific Ocean
2023-02-24T14:57:55.981Z,-33.2405,-178.4418,10,4.8,mb,27,118,3.991,0.63,us6000jrbs,south of the Kermadec Islands,earthquake,16,UNKNOWN,UNKNOWN,UNKNOWN,South Pacific Ocean
2023-02-24T14:39:12.710Z,-15.7798,-177.4963,425.764,4.6,mb,60,51,1.583,0.67,us6000jrav,"175 km SSE of Alo, Wallis and Futuna",earthquake,187,UNKNOWN,UNKNOWN,UNKNOWN,South Pacific Ocean
2023-02-24T14:02:01.188Z,37.9685,33.9882,18.494,4.5,mb,53,83,1.706,0.47,us6000jral,"15 km ENE of Emirgazi, Turkey",earthquake,20,Turkey,AS,Asia,NO
2023-02-24T11:50:47.817Z,54.3737,-161.4564,44.528,4.9,mb,92,158,1.239,0.5,us6000jra2,"94 km SE of King Cove, Alaska",earthquake,125,United States,NA,North America,Gulf Of Alaska
